Transaction,date_time,period_day,weekday_weekend,Bread,Scandinavian,Hot chocolate,Jam,Cookies,Muffin,Coffee,Soup,Cake,Juice
1,30-10-2016 09:58,morning,weekend,1,1,1,1,0,0,1,1,0,0
2,30-10-2016 10:05,morning,weekend,0,0,0,1,1,1,1,1,1,0
2,30-10-2016 10:05,morning,weekend,1,1,0,1,0,1,0,1,0,1
3,30-10-2016 10:07,morning,weekend,1,1,0,1,1,0,0,1,0,1
3,30-10-2016 10:07,morning,weekend,0,0,1,1,0,0,1,0,1,0
3,30-10-2016 10:07,morning,weekend,0,0,0,0,1,0,0,1,1,0
4,30-10-2016 10:08,morning,weekend,1,1,0,1,1,1,1,1,0,1
5,30-10-2016 10:13,morning,weekend,0,0,0,1,1,1,0,1,0,1
5,30-10-2016 10:13,morning,weekend,0,0,0,1,0,1,0,0,1,0
5,30-10-2016 10:13,morning,weekend,1,0,1,0,0,0,1,1,1,1
6,30-10-2016 10:16,morning,weekend,0,1,1,1,1,0,1,0,0,0
6,30-10-2016 10:16,morning,weekend,1,0,1,0,0,1,1,1,0,0
6,30-10-2016 10:16,morning,weekend,1,0,0,0,0,1,0,0,0,1
7,30-10-2016 10:19,morning,weekend,0,1,1,0,0,1,1,0,0,0
7,30-10-2016 10:19,morning,weekend,1,1,0,0,0,0,1,1,1,1
7,30-10-2016 10:19,morning,weekend,0,1,1,0,0,1,1,1,0,1
7,30-10-2016 10:19,morning,weekend,0,1,1,0,0,0,1,1,1,0
8,30-10-2016 10:20,morning,weekend,0,1,1,1,1,1,1,1,0,1
8,30-10-2016 10:20,morning,weekend,0,1,0,1,1,1,0,1,0,0
9,30-10-2016 10:21,morning,weekend,0,0,0,1,1,0,0,1,0,1
9,30-10-2016 10:21,morning,weekend,0,0,0,1,1,0,0,1,0,0
10,30-10-2016 10:25,morning,weekend,1,1,1,0,0,1,1,0,0,1
10,30-10-2016 10:25,morning,weekend,0,0,1,0,1,0,0,1,1,0
11,30-10-2016 10:27,morning,weekend,0,1,0,1,0,0,0,1,0,0
11,30-10-2016 10:27,morning,weekend,1,0,0,0,1,1,0,1,0,0
11,30-10-2016 10:27,morning,weekend,1,0,0,0,0,1,1,0,1,0
12,30-10-2016 10:30,morning,weekend,0,0,0,0,0,0,1,1,1,0
12,30-10-2016 10:30,morning,weekend,1,0,0,1,0,1,1,0,0,0
12,30-10-2016 10:30,morning,weekend,1,0,0,0,0,0,1,0,1,0
12,30-10-2016 10:30,morning,weekend,0,0,1,0,0,1,1,1,1,0
12,30-10-2016 10:30,morning,weekend,0,1,1,0,0,1,0,1,1,0
13,30-10-2016 10:31,morning,weekend,0,1,0,1,1,1,1,1,1,1
13,30-10-2016 10:31,morning,weekend,1,0,0,1,1,0,0,1,0,1
13,30-10-2016 10:31,morning,weekend,1,1,1,1,0,0,0,1,0,0
14,30-10-2016 10:32,morning,weekend,0,0,0,1,0,0,1,0,1,0
14,30-10-2016 10:32,morning,weekend,1,0,1,0,1,0,0,0,1,0
14,30-10-2016 10:32,morning,weekend,1,0,1,0,0,1,1,1,0,1
15,30-10-2016 10:34,morning,weekend,0,1,0,1,0,1,1,1,0,0
15,30-10-2016 10:34,morning,weekend,0,0,1,0,0,1,0,1,0,1
16,30-10-2016 10:37,morning,weekend,0,0,1,0,0,1,1,1,1,0
16,30-10-2016 10:37,morning,weekend,0,0,0,0,1,0,1,1,1,0
16,30-10-2016 10:37,morning,weekend,0,1,1,0,0,0,0,1,0,1
17,30-10-2016 10:38,morning,weekend,1,1,1,1,0,0,1,1,0,1
18,30-10-2016 10:41,morning,weekend,0,0,0,1,0,1,0,0,0,0
