invoice_no,customer_id,gender,age,category,price,payment_method,invoice_date,shopping_mall,Clothing,Shoes,Books,Cosmetics,Food & Beverage,Toys,Souvenir,Technology
I138884,C241288,Female,28,Clothing,30,Credit Card,5/8/2022,Kanyon,1,0,0,0,0,0,0,0
I317333,C111565,Male,21,Shoes,60,Debit Card,12/12/20211,Forum Istanbul,0,1,0,0,0,0,0,0
I127801,C266599,,20,Clothing,30,Cash,9/11/2021,Metrocity,1,0,0,0,0,0,0,0
I173702,C988172,Male,66,Shoes,60,Credit Card,16/05/2021,Metropol AVM,0,1,0,0,0,0,0,0
I337046,C189076,Female,53,Books,15,Cash,24/10/2021,Kanyon,0,0,1,0,0,0,0,0
I227836,C657758,Female,28,Clothing,30,Credit Card,24/05/2022,Forum Istanbul,1,0,0,0,0,0,0,0
I121056,C151197,Female,49,Cosmetics,35,Cash,13/03/2022,Istinye Park,0,0,0,1,0,0,0,0
I293112,C176086,Female,32,Clothing,30,Credit Card,13/01/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I293455,C159642,,69,Clothing,30,Credit Card,4/11/2021,Metrocity,1,0,0,0,0,0,0,0
I326945,C283361,Female,60,Clothing,30,Credit Card,4/11/2021,Kanyon,1,0,1,0,1,0,0,0
I306368,C240286,Female,36,Food & Beverage,20,Cash,25/12/2022,Metrocity,0,0,0,0,0,0,0,0
I139207,C191708,Female,29,Books,15,Cash,28/10/2022,Emaar Square Mall,0,0,0,0,0,0,0,0
I640508,C225330,,67,Toys,25,Debit Card,31/07/2022,Metrocity,0,0,0,0,0,1,0,0
I179802,C312861,Male,25,Clothing,30,Cash,17/11/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I336189,C555402,Female,67,Clothing,30,Cash,3/6/2022,,1,0,0,0,0,0,0,0
I688768,C362288,Male,24,Shoes,60,Credit Card,7/11/2021,Viaport Outlet,0,1,0,0,0,0,0,0
I294687,C300786,Male,65,Books,15,Debit Card,7/11/2021,Metrocity,0,0,1,0,1,0,0,0
I195744,C330667,Female,42,Food & Beverage,20,Credit Card,5/1/2022,Zorlu Center,0,0,0,0,0,0,0,0
I993048,C218149,Female,46,Clothing,30,Cash,26/07/2021,Metropol AVM,1,0,0,0,0,0,0,0
I992454,C196845,Male,24,Toys,25,Cash,7/3/2023,Cevahir AVM,0,0,0,0,0,1,0,0
I183746,C220180,Male,23,Clothing,30,Credit Card,15/02/2023,Emaar Square Mall,1,0,0,0,1,0,0,0
I412481,C125696,Female,27,Food & Beverage,20,Cash,1/5/2021,Cevahir AVM,0,0,1,0,0,0,0,0
I823067,C322947,Male,52,Clothing,30,NaN,1/5/2021,Cevahir AVM,1,0,0,0,0,0,0,0
I252275,C313348,Male,44,Technology,50,Cash,26/10/2021,Kanyon,0,0,0,0,0,0,0,1
I174250,C204553,Female,42,Books,15,Cash,16/12/2022,Metrocity,0,0,0,0,0,0,0,0
I195396,C285161,Male,51,Toys,25,Cash,16/05/2021,Istinye Park,0,0,0,0,0,1,0,0
I196704,C289625,Female,25,Cosmetics,35,Credit Card,20/04/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I217053,C192344,Male,50,Shoes,60,Cash,10/10/2022,Emaar Square Mall,0,1,0,0,0,0,0,0
I655874,C447138,Female,65,Shoes,60,Cash,10/10/2022,Cevahir AVM,0,1,0,0,0,0,0,0
I209744,C251229,Male,29,Cosmetics,35,Credit Card,29/04/2021,Istinye Park,0,0,1,1,0,0,0,0
I161949,C159164,Female,66,Toys,25,Debit Card,4/7/2022,Mall of Istanbul,0,0,0,0,0,1,0,0
I331891,C501658,Male,23,Clothing,30,Credit Card,21/11/2021,Emaar Square Mall,1,0,0,0,0,0,0,0
I768348,C176727,Female,32,Shoes,60,Credit Card,23/02/2022,NaN,0,1,0,0,0,0,0,0
I109053,C232624,Male,51,Clothing,30,Debit Card,11/7/2021,Metrocity,1,0,0,0,0,0,0,0
I167211,C164092,Female,66,Shoes,60,Credit Card,30/08/2022,Zorlu Center,0,1,0,0,1,0,0,0
I339732,C276887,Male,68,Food & Beverage,20,Credit Card,4/1/2023,Emaar Square Mall,0,0,0,0,0,0,0,0
I147062,C245456,Male,43,Clothing,30,Credit Card,21/06/2022,Kanyon,1,0,0,0,0,0,0,0
I187519,C450287,Female,59,Clothing,30,Credit Card,8/7/2022,Metrocity,1,0,0,0,0,0,0,0
I106674,C204279,Male,54,Clothing,30,Cash,27/02/2022,Kanyon,1,0,0,0,0,0,0,0
I473411,C452806,Male,24,Clothing,30,Cash,19/12/2022,Metropol AVM,1,0,0,0,1,0,0,0
I246550,C716788,Female,49,Food & Beverage,20,Cash,10/9/2021,Zorlu Center,0,0,0,0,0,0,0,0
I138674,C155059,Male,67,Cosmetics,35,Credit Card,14/02/2022,Metropol AVM,0,0,0,1,0,0,0,0
I752693,C306662,Female,48,Cosmetics,35,Cash,14/02/2022,Metrocity,0,0,0,1,0,0,0,0
I826174,C607615,Female,40,Shoes,60,Cash,20/06/2022,Metrocity,0,1,0,0,0,0,0,0
I296025,C120164,Female,41,Shoes,60,Credit Card,21/04/2022,Kanyon,0,1,0,0,0,0,0,0
I117291,C134449,Male,46,Books,15,Credit Card,9/12/2022,Zorlu Center,0,0,0,0,0,0,0,0
I267193,C317818,Female,19,Cosmetics,35,Credit Card,12/1/2023,Mall of Istanbul,0,0,0,1,0,0,0,0
I205366,C241642,Female,43,Clothing,30,Debit Card,7/11/2022,Zorlu Center,1,0,0,0,0,0,0,0
I269690,C126436,Male,18,Cosmetics,35,Debit Card,7/2/2022,Zorlu Center,0,0,0,1,0,0,0,0
I304265,C653385,Female,22,Books,15,Debit Card,13/06/2021,Forum Istanbul,0,0,0,0,0,0,0,0
I246562,C227070,Female,61,Cosmetics,35,Cash,23/08/2021,Emaar Square Mall,0,0,1,1,0,0,0,0
I202367,C317478,Female,41,Books,15,Cash,24/02/2023,Istinye Park,0,0,0,0,0,0,0,0
I664787,C237330,Female,53,Cosmetics,35,Credit Card,12/1/2023,Istinye Park,0,0,0,1,0,0,0,0
I160777,C626042,Female,43,Technology,50,Cash,22/02/2022,Metrocity,0,0,0,0,1,0,0,1
